# timestamp,line
1618426210436,1618426210432446976-61.70
1618426210436,1618426210432446976-20.00
1618426210437,1618426210432446976-19.30
1618426211436,1618426211432446976-20.50
1618426211436,1618426211432446976-19.70
1618426211436,1618426211432446976-55.30
1618426211436,1618426211432446976-59.40
1618426212446,1618426212432446976-58.80
1618426212446,1618426212432446976-21.00
1618426212446,1618426212432446976-19.50
1618426212446,1618426212432446976-63.10
1618426213444,1618426213432446976-20.60
1618426213444,1618426213432446976-65.60
1618426213444,1618426213432446976-56.30
1618426213444,1618426213432446976-21.50
1618426214440,1618426214432446976-22.00
1618426214440,1618426214432446976-77.20
1618426214440,1618426214432446976-20.40
1618426214440,1618426214432446976-63.50
1618426215441,1618426215432446976-22.50
1618426215441,1618426215432446976-76.80
1618426215485,1618426215432446976-62.20
1618426215486,1618426215432446976-23.70
1618426216439,1618426216432446976-68.10
1618426216439,1618426216432446976-84.90
1618426216439,1618426216432446976-22.00
1618426216439,1618426216432446976-23.00
1618426217433,1618426217432446976-81.00
1618426217433,1618426217432446976-73.60
1618426217433,1618426217432446976-24.20
1618426217433,1618426217432446976-24.50
1618426218448,1618426218432446976-72.90
1618426218448,1618426218432446976-26.10
1618426218448,1618426218432446976-24.30
1618426218448,1618426218432446976-89.70
1618426219448,1618426219432446976-93.30
1618426219448,1618426219432446976-25.30
1618426219448,1618426219432446976-76.40
1618426219448,1618426219432446976-22.70
1618426220446,1618426220432446976-24.80
1618426220447,1618426220432446976-19.90
1618426220447,1618426220432446976-78.70
1618426220447,1618426220432446976-74.80
1618426221444,1618426221432446976-59.40
1618426221444,1618426221432446976-17.30
1618426221444,1618426221432446976-74.30
1618426221444,1618426221432446976-22.90
1618426222434,1618426222432446976-61.70
1618426222434,1618426222432446976-50.00
1618426222434,1618426222432446976-19.30
1618426222434,1618426222432446976-20.00
1618426223436,1618426223432446976-20.50
1618426223437,1618426223432446976-59.40
1618426223437,1618426223432446976-19.70
1618426223437,1618426223432446976-55.30
1618426224447,1618426224432446976-58.80
1618426224448,1618426224432446976-63.10
1618426224448,1618426224432446976-19.50
1618426224448,1618426224432446976-21.00
1618426225446,1618426225432446976-65.60
1618426225446,1618426225432446976-21.50
1618426225446,1618426225432446976-20.60
1618426225446,1618426225432446976-56.30
1618426226436,1618426226432446976-20.40
1618426226436,1618426226432446976-63.50
1618426226437,1618426226432446976-22.00
1618426226437,1618426226432446976-77.20
1618426227435,1618426227432446976-22.50
1618426227435,1618426227432446976-76.80
1618426227435,1618426227432446976-23.70
1618426227435,1618426227432446976-62.20
1618426228432,1618426228432446976-23.00
1618426228432,1618426228432446976-22.00
1618426228432,1618426228432446976-68.10
1618426228432,1618426228432446976-84.90
1618426229442,1618426229432446976-24.20
1618426229443,1618426229432446976-73.60
1618426229443,1618426229432446976-81.00
1618426229443,1618426229432446976-24.50
1618426230435,1618426230432446976-24.30
1618426230435,1618426230432446976-89.70
1618426230435,1618426230432446976-72.90
1618426230435,1618426230432446976-26.10
1618426231435,1618426231432446976-25.30
1618426231435,1618426231432446976-93.30
1618426231435,1618426231432446976-76.40
1618426231435,1618426231432446976-22.70
1618426232445,1618426232432446976-19.90
1618426232445,1618426232432446976-74.80
1618426232445,1618426232432446976-78.70
1618426232445,1618426232432446976-24.80
1618426233444,1618426233432446976-17.30
1618426233444,1618426233432446976-22.90
1618426233445,1618426233432446976-59.40
1618426233445,1618426233432446976-74.30
1618426234439,1618426234432446976-20.00
1618426234439,1618426234432446976-50.00
1618426234439,1618426234432446976-61.70
1618426234439,1618426234432446976-19.30
1618426235435,1618426235432446976-19.70
1618426235435,1618426235432446976-20.50
1618426235435,1618426235432446976-55.30
1618426235435,1618426235432446976-59.40
1618426236447,1618426236432446976-58.80
1618426236447,1618426236432446976-21.00
1618426236450,1618426236432446976-63.10
1618426236450,1618426236432446976-19.50
1618426237447,1618426237432446976-20.60
1618426237447,1618426237432446976-65.60
1618426237447,1618426237432446976-56.30
1618426237447,1618426237432446976-21.50
1618426238443,1618426238432446976-20.40
1618426238443,1618426238432446976-77.20
1618426238443,1618426238432446976-22.00
1618426238443,1618426238432446976-63.50
1618426239447,1618426239432446976-62.20
1618426239447,1618426239432446976-76.80
1618426239447,1618426239432446976-23.70
1618426239447,1618426239432446976-22.50
